address,lat,lng
"Tacuarí 1842, CABA",-58.374954,-34.629639
"Av. Santa Fe 2077, CABA",-58.396986,-34.595534
"Av. Santa Fe 3492, CABA",-58.414048,-34.586520
"Av. Santa Fe 1818, CABA",-58.393645,-34.595926
"Av. Cabildo 1965, CABA",-58.455443,-34.563304
"Av. Rivadavia 5045, CABA",-58.437306,-34.618584
"Florida 637, CABA",-58.375359,-34.600621
"Vicente López 2036, CABA",-58.393629,-34.588922
"Suipacha 764, CABA",-58.379750,-34.599519
"Av. Corrientes 526, CABA",-58.374282,-34.603340
"Florida 737, CABA",-58.375364,-34.599448
"Av. Corrientes 1243, CABA",-58.384307,-34.603778
"Av. Corrientes 1316, CABA",-58.385374,-34.604005
"Holmberg 2614, CABA",-58.478471,-34.567655
"Ramos Mejía 841, CABA",-58.432341,-34.605908
"Av. Rivadavia 1571, CABA",-58.388724,-34.608994
"Av.Corrientes 2038, CABA",-58.395865,-34.604591
"Manuel Montes de Oca 1120, CABA",-58.374046,-34.641025
"Pres. José Evaristo Uriburu 950, CABA",-58.398999,-34.597581
"Cuidad Universitaria, CABA",NA,NA
"Ciudad Universitaria, CABA",NA,NA
"Ciudad Universitaria, CABA",NA,NA
"Av. San Martín 4453, CABA",-58.482362,-34.598018
"Av. Córdoba 2122, CABA",-58.397929,-34.599824
"Av. Presidente Figueroa Alcorta 2263, CABA",-58.392374,-34.583292
"Av. Las Heras 2214, CABA",-58.396198,-34.588399
"Santiago del Estero 1029, CABA",-58.384407,-34.620242
"Av. Santa Fe 1860, CABA",-58.394220,-34.595904
"Florida 340, CABA",-58.375246,-34.604097
"Florida 632, CABA",-58.375412,-34.600696
"Av. Cabildo 2093, CABA",-58.456438,-34.562148
"Posadas 1245, CABA",-58.384257,-34.589138
"Salguero 3172, CABA",-58.404121,-34.575644
"Cabildo 1978 – Local 1116/1, CABA",NA,NA
"Av. Santa Fe 3253, CABA",-58.410667,-34.588556
"Av. Corrientes 3247, CABA",-58.410672,-34.603955
"Arce 940 – Local 207, CABA",NA,NA
"Av. Acoyte 44, CABA",-58.436775,-34.617896
"Nazarre 3175 – Local Nº 221., CABA",NA,NA
"Av. Rivadavia 6527, CABA",-58.458251,-34.627212
"Aeropuerto Jorge Newbery – Local Nº 19., CABA",NA,NA
"Vedia 3626 – Local Nº 316., CABA",NA,NA
"Av. Bullrich 345, CABA",-58.425342,-34.574925
"Av. Santa Fe 3142, CABA",-58.409308,-34.589813
"Av. Santa Fe 2928, CABA",-58.407490,-34.591458
"Av. Scalabrini Ortiz 2518, CABA",-58.415714,-34.584935
"Medrano 25, CABA",-58.421060,-34.610881
"Florida 249, CABA",-58.375087,-34.605084
"Lavalle 691, CABA",-58.376400,-34.602238
"Av. Corrientes 4790, CABA",-58.433391,-34.601766
"Cnel.Ramón Falcón 7145, CABA",-58.526853,-34.640259
"Av. Rivadavia 6870, CABA",-58.462222,-34.628793
"Av. Rivadavia 4648, CABA",-58.431092,-34.616008
"Av. Corrientes 1436, CABA",-58.387069,-34.604115
"Av. Corrientes 1311, CABA",-58.385312,-34.603838
"Uruguay 341, CABA",-58.386468,-34.604784
"Juramento 2584, CABA",-58.458366,-34.563069
"Av. Santa Fe 3034, CABA",-58.408231,-34.590726
"Av. Rivadavia 4791, CABA",-58.432741,-34.616553
"Sucre 2441, CABA",-58.455597,-34.564197
"Bulnes 640, CABA",-58.418187,-34.604043
"Av. Santa Fe 1685, CABA",-58.391662,-34.595748
"Av. Rivadavia 3474, CABA",-58.415319,-34.610872
"Av. Corrientes 1388, CABA",-58.386244,-34.604056
"Peat. Florida 719, CABA",NA,NA
"Av. Juramento 2385, CABA",-58.456340,-34.561758
"Av. Rivadavia 6495, CABA",-58.457743,-34.627002
"Av. Santa Fe 1654, CABA",-58.390945,-34.595903
"Av. Callao 1012, CABA",-58.393312,-34.597102
"Vedia 3626, CABA",-58.487652,-34.545051
"Av. La Plata 63, CABA",-58.429176,-34.615947
"Av. Santa Fe 3253, CABA",-58.410667,-34.588556
"Marcelo T. de Alvear 1369, CABA",-58.386610,-34.596980
"Conde 1990, CABA",-58.464619,-34.568369
"A. Alsina 943, CABA",-58.379757,-34.610645
"La Rioja 2127, CABA",-58.405774,-34.636239
"Av. Independencia 3548, CABA",-58.415688,-34.620994
"Ayacucho 19, CABA",-58.394847,-34.609016
"México 620, CABA",-58.374924,-34.614972
"PEDERNERA 88, CABA",-58.463611,-34.630343
"Av. Cabildo 1786, CABA",-58.454185,-34.565076
"Las Heras 1702, CABA",-58.390978,-34.592536
"Brasil 1128, CABA",-58.380059,-34.627854
"Av. Juan Bautista Alberdi 5853, CABA",-58.502764,-34.651682
"Av. Scalabrini Ortiz 274, CABA",-58.439339,-34.600113
"Cuenca 3131, CABA",-58.495526,-34.600959
"Dr. Rodolfo Rivarola 169, CABA",-58.385397,-34.606846
"Av. Corrientes 1375, CABA",-58.386141,-34.603887
"Florida 683, CABA",-58.375379,-34.600074
"Av. Callao 410 2º, CABA",NA,NA
"Freire 2551 3º D, CABA",NA,NA
"Av. Díaz Vélez 5126, CABA",-58.439167,-34.608879
"Bartolomé Mitre 3749, CABA",-58.419298,-34.609632
"Francisco Laprida 1780, CABA",NA,NA
"Vidal 2649, CABA",-58.464480,-34.559339
"Av. Rivadavia 1573, CABA",-58.388724,-34.608994
"Av. Rivadavia 3402, CABA",-58.414604,-34.610821
"Tucumán 358. Piso 4, CABA",NA,NA
"Catamarca 972, CABA",-58.404513,-34.621053
"Av. Medrano 288, CABA",-58.421511,-34.607501
"Castro Barros 1754, CABA",-58.417792,-34.633499
"Yapeyú 283, CABA",-58.421642,-34.615533
"NA, CABA",NA,NA
"NA, CABA",NA,NA
"MAIPU 116 PISO 8, CABA",NA,NA
"RIOBAMBA 1018, CABA",-58.394824,-34.597024
"CALIFORNIA 2082 P 3 OF 315, CABA",NA,NA
"AVENIDA CORRIENTES 415 8º, CABA",NA,NA
"DEFENSA 269 PB OF 1, CABA",NA,NA
"AV. CORDOBA 807 5º A, CABA",NA,NA
"ESMERALDA 977 5º OF 12, CABA",NA,NA
"ROJAS 318, CABA",-58.442915,-34.617115
"CAVIA 2985 1º, CABA",NA,NA
"LAVALLE 1675 4º ""13"", CABA",NA,NA
"TANDIL 3564 Dpto.""E"", CABA",NA,NA
"BARILARI 1392, CABA",-58.451332,-34.550735
"AV. CALLAO 224 2º PISO, CABA",NA,NA
"LAVALLE 1290 1ºPiso Of.""112"", CABA",NA,NA
"JERONIMO SALGUERO 1452, CABA",-58.418236,-34.593436
"ALMAFUERTE 876 DTO. A, CABA",NA,NA
"24 DE NOVIEMBRE 1212, CABA",-58.410274,-34.625156
"Avenida Caseros 731, 3º ""O"",, CABA",NA,NA
"ARAOZ 2463 6º ""13"", CABA",NA,NA
"JUNIN 1616 6º PISO, CABA",NA,NA
"Pje. Florencio Balcarce 73 1er, CABA",NA,NA
"J. M. DE PUEYRREDON 2385 7 A, CABA",NA,NA
"JOSE BONIFACIO 2876 7º ""A"", CABA",NA,NA
"TALCAHUANO 758, PB, B, CABA",NA,NA
"Avda. LIBERTADOR 6550 5º ""C"", CABA",NA,NA
"CIUDAD DE LA PAZ 2330, CABA",-58.459581,-34.560462
"JOSE MARMOL 915, 2º 5, CABA",NA,NA
"AV. CABILDO 1535 3º. C, CABA",NA,NA
